unicode,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Position,Unicode block,le_+,le_-,le_0,sent_score,sent_score_class,upper_error_class,lower_error_class,sent_polar,primary_basic_emot
1F601,😁,0.06,0.25,0.0,0.08,0.89,0.06,0.33,0.36,0.796151187,Emoticons,0.5766423357664233,0.1272810218978102,0.2960766423357664,0.4493613138686131,Positive,Positive,Positive,Positive,joy
1F602,😂,0.0,0.17,0.06,0.06,0.94,0.0,0.33,0.22,0.805100583,Emoticons,0.4681025641025641,0.2471794871794871,0.2847179487179487,0.2209230769230769,Positive,Positive,Positive,Positive,joy
1F603,😃,0.0,0.31,0.0,0.06,0.83,0.0,0.33,0.36,0.734782211,Emoticons,0.6286186931348222,0.0719602977667493,0.2994210090984284,0.5566583953680728,Positive,Positive,Positive,Positive,joy
1F604,😄,0.0,0.36,0.0,0.0,0.86,0.0,0.28,0.28,0.794972621,Emoticons,0.5581727337615988,0.1370449678800856,0.3047822983583155,0.4211277658815131,Positive,Positive,Positive,Positive,joy
1F605,😅,0.08,0.44,0.06,0.28,0.42,0.06,0.36,0.17,0.827654572,Emoticons,0.4709677419354838,0.2924731182795699,0.2365591397849462,0.1784946236559139,Positive,Positive,Positive,Positive,anticipation
1F606,😆,0.06,0.19,0.06,0.06,0.94,0.06,0.25,0.31,0.809376422,Emoticons,0.5641509433962264,0.1547169811320754,0.2811320754716981,0.4094339622641509,Positive,Positive,Positive,Positive,joy
1F607,😇,0.0,0.31,0.0,0.0,0.72,0.0,0.17,0.5,0.781831331,Emoticons,0.6594202898550725,0.072463768115942,0.2681159420289855,0.5869565217391305,Positive,Positive,Positive,Positive,joy
1F608,😈,0.14,0.44,0.06,0.19,0.33,0.08,0.03,0.0,0.762497655,Emoticons,0.4695121951219512,0.2042682926829268,0.3262195121951219,0.2652439024390244,Positive,Positive,Positive,Positive,anticipation
1F609,😉,0.0,0.42,0.0,0.0,0.44,0.08,0.28,0.47,0.844832651,Emoticons,0.562992125984252,0.0997375328083989,0.337270341207349,0.463254593175853,Positive,Positive,Positive,Positive,trust
1F60A,😊,0.0,0.42,0.0,0.0,0.92,0.0,0.33,0.47,0.813302436,Emoticons,0.7036688617121355,0.059579805581687,0.2367513327061775,0.6440890561304484,Positive,Positive,Positive,Positive,joy
1F60B,😋,0.0,0.47,0.0,0.0,0.78,0.0,0.19,0.11,0.76498518,Emoticons,0.6770691994572592,0.0461329715061058,0.276797829036635,0.6309362279511533,Positive,Positive,Positive,Positive,joy
1F60C,😌,0.0,0.33,0.0,0.11,0.81,0.0,0.22,0.61,0.847121229,Emoticons,0.6227544910179641,0.1407185628742515,0.2365269461077844,0.4820359281437126,Positive,Positive,Positive,Positive,joy
1F60D,😍,0.0,0.31,0.0,0.0,0.83,0.0,0.5,0.5,0.765292366,Emoticons,0.7294875825212197,0.0518704809808236,0.2186419364979566,0.677617101540396,Positive,Positive,Positive,Positive,joy
1F60E,😎,0.0,0.22,0.0,0.0,0.75,0.0,0.06,0.33,0.76564387,Emoticons,0.5970937912813739,0.1056803170409511,0.297225891677675,0.4914134742404227,Positive,Positive,Positive,Positive,joy
1F60F,😏,0.22,0.33,0.28,0.14,0.22,0.22,0.11,0.22,0.764977294,Emoticons,0.4439344262295082,0.1121311475409836,0.4439344262295082,0.3318032786885245,Positive,Positive,Positive,Positive,anticipation
1F610,😐,0.14,0.33,0.31,0.17,0.06,0.25,0.31,0.08,0.882732825,Emoticons,0.1648351648351648,0.5531135531135531,0.282051282051282,-0.3882783882783883,Negative,Negative,Negative,Negative,anticipation
1F611,😑,0.28,0.22,0.47,0.14,0.0,0.33,0.19,0.17,0.844272967,Emoticons,0.2019867549668874,0.5132450331125827,0.2847682119205298,-0.3112582781456953,Negative,Negative,Negative,Negative,disgust
1F612,😒,0.58,0.14,0.64,0.17,0.0,0.42,0.11,0.0,0.857620553,Emoticons,0.2168587896253602,0.590778097982709,0.1923631123919308,-0.3739193083573487,Negative,Negative,Negative,Negative,disgust
1F613,😓,0.19,0.44,0.31,0.64,0.0,0.36,0.17,0.11,0.844887359,Emoticons,0.3514492753623188,0.4311594202898551,0.217391304347826,-0.0797101449275362,Neutral,Neutral,Negative,Negative,fear
1F614,😔,0.25,0.22,0.31,0.28,0.0,0.72,0.19,0.14,0.86614594,Emoticons,0.3178807947019867,0.4635761589403973,0.2185430463576159,-0.1456953642384105,Negative,Negative,Negative,Negative,sadness
1F615,😕,0.19,0.42,0.36,0.36,0.0,0.39,0.28,0.17,0.856711865,Emoticons,0.2040816326530612,0.6005830903790087,0.19533527696793,-0.3965014577259474,Negative,Negative,Negative,Negative,anticipation
1F616,😖,0.22,0.36,0.67,0.5,0.08,0.53,0.11,0.11,0.868926665,Emoticons,0.3284132841328413,0.4833948339483395,0.1881918819188192,-0.1549815498154981,Negative,Neutral,Negative,Negative,disgust
1F618,😘,0.0,0.33,0.0,0.0,0.72,0.0,0.17,0.61,0.854480172,Emoticons,0.7543138866064092,0.0531361270884689,0.1925499863051218,0.7011777595179403,Positive,Positive,Positive,Positive,joy
1F619,😙,0.0,0.47,0.0,0.0,0.83,0.0,0.17,0.83,0.875675106,Emoticons,0.7989690721649485,0.0206185567010309,0.1804123711340206,0.7783505154639175,Positive,Positive,Positive,Positive,joy
1F61A,😚,0.0,0.44,0.0,0.0,0.86,0.0,0.22,0.67,0.853414944,Emoticons,0.7587822014051522,0.0491803278688524,0.1920374707259953,0.7096018735362997,Positive,Positive,Positive,Positive,joy
1F61B,😛,0.0,0.31,0.0,0.03,0.69,0.0,0.28,0.19,0.734419263,Emoticons,0.6860986547085202,0.085201793721973,0.2286995515695067,0.600896860986547,Positive,Positive,Positive,Positive,joy
1F61C,😜,0.0,0.42,0.0,0.06,0.64,0.0,0.28,0.11,0.822246602,Emoticons,0.5664739884393064,0.1117533718689788,0.3217726396917148,0.4547206165703276,Positive,Positive,Positive,Positive,joy
1F61D,😝,0.0,0.22,0.06,0.08,0.83,0.0,0.22,0.14,0.808808972,Emoticons,0.5551102204408818,0.1322645290581162,0.312625250501002,0.4228456913827655,Positive,Positive,Positive,Positive,joy
1F61E,😞,0.39,0.19,0.5,0.33,0.0,0.92,0.06,0.08,0.825187832,Emoticons,0.3607476635514018,0.4785046728971963,0.1607476635514018,-0.1177570093457944,Negative,Neutral,Negative,Negative,sadness
1F61F,😟,0.25,0.44,0.44,0.72,0.0,0.69,0.17,0.08,0.824309355,Emoticons,0.4216867469879518,0.3493975903614458,0.2289156626506024,0.072289156626506,Neutral,Positive,Neutral,Positive,fear
1F620,😠,1.0,0.17,0.56,0.17,0.0,0.25,0.11,0.08,0.849218089,Emoticons,0.2646048109965636,0.563573883161512,0.1718213058419244,-0.2989690721649484,Negative,Negative,Negative,Negative,anger
1F621,😡,1.0,0.11,0.56,0.11,0.0,0.36,0.08,0.06,0.861522028,Emoticons,0.3596837944664031,0.5322793148880105,0.1080368906455863,-0.1725955204216073,Negative,Negative,Negative,Negative,anger
1F622,😢,0.25,0.08,0.36,0.5,0.0,1.0,0.08,0.11,0.813896833,Emoticons,0.3909574468085106,0.3843085106382978,0.2247340425531915,0.0066489361702127,Neutral,Neutral,Neutral,Positive,sadness
1F623,😣,0.31,0.28,0.67,0.47,0.0,0.64,0.0,0.08,0.903307721,Emoticons,0.3284671532846715,0.5401459854014599,0.1313868613138686,-0.2116788321167883,Negative,Negative,Negative,Negative,disgust
1F624,😤,0.75,0.11,0.64,0.14,0.0,0.25,0.03,0.0,0.884007985,Emoticons,0.2696969696969697,0.4787878787878787,0.2515151515151515,-0.209090909090909,Negative,Negative,Negative,Negative,anger
1F625,😥,0.14,0.19,0.25,0.33,0.03,0.81,0.08,0.06,0.881976694,Emoticons,0.438953488372093,0.3168604651162791,0.2441860465116279,0.1220930232558139,Positive,Positive,Neutral,Positive,sadness
1F628,😨,0.17,0.39,0.33,0.97,0.0,0.56,0.39,0.14,0.813687927,Emoticons,0.2941176470588235,0.4338235294117647,0.2720588235294117,-0.1397058823529411,Negative,Neutral,Negative,Negative,fear
1F629,😩,0.33,0.25,0.5,0.47,0.0,0.75,0.14,0.08,0.826213985,Emoticons,0.2230811706239646,0.5908337934842628,0.1860850358917725,-0.3677526228602981,Negative,Negative,Negative,Negative,sadness
1F62A,😪,0.11,0.08,0.44,0.28,0.0,0.64,0.06,0.0,0.858219873,Emoticons,0.3505154639175257,0.4309278350515464,0.2185567010309278,-0.0804123711340206,Neutral,Neutral,Negative,Negative,sadness
1F62B,😫,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06,0.839517641,Emoticons,0.3404255319148936,0.4851063829787234,0.1744680851063829,-0.1446808510638297,Negative,Negative,Negative,Negative,sadness
1F62C,😬,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11,0.793679841,Emoticons,0.4608294930875576,0.2672811059907834,0.271889400921659,0.1935483870967742,Positive,Positive,Positive,Positive,anticipation
1F62D,😭,0.22,0.08,0.36,0.33,0.0,1.0,0.08,0.08,0.803351976,Emoticons,0.3431000180864532,0.436426116838488,0.2204738650750587,-0.0933260987520347,Neutral,Neutral,Neutral,Negative,sadness
1F630,😰,0.22,0.31,0.39,0.83,0.0,0.69,0.08,0.06,0.919654285,Emoticons,0.4163934426229508,0.4360655737704918,0.1475409836065573,-0.019672131147541,Neutral,Neutral,Negative,Negative,fear
